"","S1103","S1104","S1105","S1107","S1112","S1113","S1117","S1118","S1119","S1121","S1124","S1125","S1129","S1135","S1137","S1139","S1143","S1144","S1145","S1147","S1182","S1187","S1192","S1196","S1197","S1198","S1201","S1202","S1206","S1207","S1210","S1216","S1218","S1219","S1220","S1230","S1231","S1236","S1238","S1275","S1282","S2051","S2055","S2057","S2061","S2068","S2072","S2076","S2125","S2127","S2130","S2131","S2134","S2135","S2137","S2140","S2141","S2144","S3098","S3101","S3102","S3103","S3117","S3128","S3130","S3145","S3151","S3195","S3200","S3204","S3205","S3207","S3209","S3210","S3211","S3218","S3239","S3240","S3312","S3325","S4070","S4073","S4082","S4089","S4112","S4113","S4114","S4116","S5002","S5003","S5008","S5021","S5030","S5044","S5049","S5053","S5069","S5070","S5214","S5215"
"Enterobacter_hormaechei",3021,0,0,0,8,4,0,0,20939,0,0,423,0,0,29484,73,0,0,0,0,2,0,865,60,0,0,0,37,0,1248,0,0,0,0,0,506,0,35,0,0,0,110,0,702,0,3302,0,0,28895,0,0,51,25778,0,0,0,0,0,0,0,7,0,599,0,806,0,0,3131,0,67,46,1918,36,3552,0,0,7,0,27,410,0,6154,10087,216,50,34,8,0,5910,0,0,9,0,0,0,8,68302,0,0,0
"Escherichia_coli",0,1212,0,7505,0,3204,0,0,14672,7260,11300,60336,0,83,26,0,49,0,0,0,41400,0,0,0,293,27,4735,7217,500,0,0,0,0,569,966,0,0,0,130,117,105510,45,8,364,65,0,44235,0,0,0,0,0,14,0,14,0,1746,12,68,52,29883,25581,113,8162,12,0,262,1555,464,395,0,0,0,54191,41870,271,0,1,0,0,42,2293,0,0,1133,0,50,6,14892,4,552,16794,2027,0,32715,0,15953,47,47,0
"Fusobacterium_necrophorum",0,0,0,0,26918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116,0,0,0,0,0,0,0,0,0,0,0,0,5773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2636,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_nucleatum",0,0,0,0,0,0,0,0,0,0,0,0,0,5472,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,5,75,0,0,5480,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,4979,0,1092,0,0,0,12,1636,0,4,0,0,0,0,0,51,0,18,12,0,0,0,0,0,0,0,0,3350,159,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,0,806,0
"Gemella_haemolysans",973,753,17,0,201,0,0,992,0,0,139,265,269,123,131,55,254,238,143,851,224,0,751,26502,80,8132,84,5171,71,0,0,338,43,23,6325,1210,0,25,341,40831,53,272,32821,3385,117,1309,4369,1685,1638,0,2845,38,1458,22680,2139,458,1420,90,8,1034,338,12,0,177,0,193,76,138,122,0,5322,1158,0,0,3819,240,0,549,1221,0,92,29,0,3966,7365,1281,57,375,203,3525,0,1013,1209,533,161,2859,1,5748,3564,163
"Granulicatella_elegans",388,527,0,0,5003,0,0,84,58,0,0,52,0,127,0,0,58,0,0,0,186,0,161,3722,9,4,0,0,27,0,0,410,0,0,10620,116,0,0,0,763,0,52,373,1257,5655,1262,172,96,354,0,0,0,1328,5742,31,13,38,129,4,365,171,0,93,0,17,150,0,406,99,0,0,0,0,0,1174,96,0,7,0,14,240,0,0,209,28,341,21,0,731,1034,0,9,17,38,0,544,0,88,1612,4
"Haemophilus_influenzae",1116,90603,41,0,35,1086,99884,328,24855,0,11,631,374,25448,23654,0,10548,400,108533,0,759,0,2544,0,40,0,48530,173,21,133593,24,2144,0,9,65642,16342,0,2230,112928,10136,82,620,999,97756,541,3263,1241,46466,3292,115,0,80,0,25775,1201,71001,23118,5,0,10008,112,0,763,0,693,29858,647,97234,5813,173,45,6482,0,0,1950,17306,0,0,22,42,42455,36993,0,49815,99326,70204,2754,23,0,2482,39521,111,0,0,37,906,0,6434,18486,0
"Haemophilus_sputorum",0,0,0,0,0,0,0,14,0,0,14,5,0,0,0,5,0,0,0,246,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4298,0,0,0,15,0,0,0,0,0,0,0,0,0,48,0,0,0,2,16,0,0,0,0,0,0,0,0,0,738,0,0,109,0,8,2,0,0,0,0,0,60,0,0,0,0,8,0,0,2,0,9,0,0,4,0,0,14378
"Klebsiella_pneumoniae",0,487,67628,1604,149,51816,9432,4338,28,60125,0,0,10963,96,25,0,0,0,108,0,0,28486,0,83200,86166,0,1,6,224,0,93986,236,19651,128,1966,0,54,0,0,120,154,0,3630,0,620,17,0,21,0,13,21,31959,0,349,39,289,34796,0,206,7,18833,20739,0,0,0,7983,0,0,0,0,27735,0,41738,0,0,0,29076,632,17897,86427,0,0,2,0,23411,1087,0,75,8,0,222,6531,3301,3566,0,5532,1,0,0,0
"Lacrimispora_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,5610,0,0,0,0,0,0,0,0,52,18,0,0,0,0,0,0,0,0,0,0,8388,0,0,0,418,0,0,0,0,94,0,330,0,713,0,0,0,0,0,170,0,1431,18,0,0,270,0,0,0,0,0,817,0,0,19,0,0,0,0,0,115,0,0,0,0,0,331,0,0,0,0,0,49,0,0,934,0,0,0,0,0,0,0,518,9,0
